,streetAddress,postalCode,latitude,longitude,state,zpid
0,9539 Clatsop Dr,80925,38.73167,-104.650375,co,247509225
1,1722 N Chelton Rd,80909,38.857857,-104.76569,co,13602165
2,6530 Burrows Rd,80908,39.003345,-104.70591,co,13535937
3,18202 E Nassau Drive,80013,39.64279,-104.77598,co,13097640
4,8495 Rain Dance Ct,80920,38.955364,-104.756096,co,13561330
5,10520 Romblon Way,80234,39.88701,-105.009056,co,12967801
6,292 S Salem Court,80012,39.7117,-104.83671,co,13040426
7,2689 S Patton Court,80219,39.668194,-105.03898,co,13383661
8,215 S Julian Street,80219,39.71293,-105.03158,co,13342434
9,7605 Marmot Poin,80922,38.8974,-104.68663,co,2062540395
10,4467 Blue Grouse Pt,80922,38.894093,-104.68497,co,2082166256
11,12051 E Harvard Avenue  Unit 105,80014,39.67085,-104.847984,co,13054312
12,1645 Race Street,80206,39.74248,-104.96381,co,13321721
13,1821 Valley View Ln,80524,40.613174,-105.07063,co,13926414
14,16544 E Kansas Place,80017,39.695217,-104.795944,co,13070129
15,5562 Fundy Street,80249,39.797092,-104.75773,co,72293761
16,975 Glenrock Dr,80926,38.68559,-104.846535,co,13674048
17,2951 Richard Dr APT 3,81301,37.29643,-107.85129,co,61264728
18,Pine Ave,81123,37.510426,-105.55069,co,2060776262
19,2121 E 11th St,81001,38.278355,-104.5722,co,14007383
20,7440 S Blackhawk Street  Unit 8204,80112,39.582813,-104.82193,co,61207983
21,824 S Dale Court,80219,39.7015,-105.02123,co,13360081
22,3725 N Carefree Cir,80917,38.884434,-104.74979,co,13587738
23,1738 Silver Leaf Dr,80538,40.415432,-105.051,co,13859397
24,846 Pine Tree Dr,81122,37.328785,-107.58548,co,307625540
25,825 Crestline Dr,80916,38.820347,-104.74626,co,13621169
26,2874 Echo Park Drive,80104,39.32015,-104.83123,co,123457010
27,9490 Mosaic Hts,80817,38.69401,-104.69594,co,181568582
28,7678 S Holland Way,80128,39.576912,-105.10274,co,13833169
29,236 S Tucson Circle,80012,39.71215,-104.83467,co,13040396
30,1641 Beaver Brook Canyon Road,80439,39.706463,-105.417114,co,13268185
31,14231 E County Line Rd,80504,40.233273,-105.05615,co,13240750
32,60 GCR 4106,80446,40.060394,-105.9184,co,2060711663
33,204 Versailles Street,80603,40.005474,-104.72006,co,14093726
34,7120 Cotton Dr,80923,38.93554,-104.75184,co,13571913
35,350 Jenkins Ranch Rd,81301,37.285385,-107.84737,co,247251009
36,102 Keystone Dr,80550,40.521713,-104.86221,co,68058719
37,17850 Countdown Dr,80831,39.01412,-104.49629,co,13530558
38,10603 Cross Country Lane,80125,39.48462,-105.08527,co,82024405
39,2870 Flintwood Road,80116,39.40068,-104.68398,co,13478548
40,21091 E Flora Place,80013,39.65732,-104.74107,co,58888250
41,5855 Vance Street  Unit 202,80003,39.802635,-105.0795,co,51407506
42,19790 Bright Wing Trl,80908,39.122936,-104.763374,co,13554128
43,771 Stone Creek Dr #1,81620,39.622402,-106.49484,co,13508794
44,531 26th Ave Ct,80634,40.427372,-104.72369,co,14058545
45,115 Cottage Ln,81212,38.453014,-105.22462,co,218698447
46,1566 26th St SW,80537,40.365566,-105.099365,co,13892679
47,876 Shade Tree Dr,80550,40.43761,-104.9126,co,246632964
48,1337 College Ave,81212,38.45063,-105.23166,co,218693855
49,6121 W 77th Place,80003,39.83734,-105.063416,co,13704458
50,7865 York Street  Unit 2,80229,39.839924,-104.96062,co,13000843
51,23855 Texas Longhorn Trl,80808,38.834137,-104.386024,co,13530052
52,9411 Newton Street,80031,39.868137,-105.03726,co,12979931
53,2639 S Zephyr Court,80227,39.66888,-105.085625,co,13789376
54,7747 Blue Heron Ct,80817,38.66749,-104.684525,co,64459430
55,1738 Thrive Dr,80550,40.453815,-104.94306,co,338265763
56,3106 Gem Dr,81005,38.22685,-104.64692,co,14041793
57,351 Gun Barrel Rd,81147,37.197613,-107.1654,co,235410919
