,zpid,bed,bath,sqft,price
0,247509225,3,2,"1,500","399,000"
1,13602165,3,2,"1,310","345,000"
2,13535937,3,2,"1,152","535,000"
3,13097640,5,4,"2,840","499,983"
4,13561330,3,3,"2,192","470,000"
5,12967801,3,3,"2,376","575,000"
6,13040426,4,3,"3,749","575,000"
7,13383661,2,2,"1,700","425,000"
8,13342434,3,3,"1,608","615,000"
9,2062540395,3,2,"1,381","224,900"
10,2082166256,3,3,"1,600","265,000"
11,13054312,2,2,"1,125","285,000"
12,13321721,3,3,"2,354","989,000"
13,13926414,2,1,"1,892","300,000"
14,13070129,3,2,"2,159","350,000"
15,72293761,3,2,"1,402","400,000"
16,13674048,4,2,"3,054","640,000"
17,61264728,2,2,"1,264","360,000"
18,14007383,3,1,"1,296","229,900"
19,61207983,2,2,"1,056","355,000"
20,13360081,2,1,923,"475,000"
21,13587738,3,3,"2,152","350,000"
22,13859397,3,3,"1,764","499,000"
23,307625540,3,2,"1,728","549,900"
24,13621169,4,4,"2,077","480,000"
25,123457010,6,4,"4,936","829,900"
26,181568582,3,3,"1,738","350,000"
27,13833169,3,3,"1,706","545,000"
28,13040396,6,4,"3,134","500,000"
29,13268185,3,3,"1,597","465,000"
30,13240750,5,3,"4,112","1,250,000"
31,2060711663,3,2,"1,790","590,000"
32,14093726,3,2,"1,620","350,000"
33,13571913,5,4,"3,543","569,999"
34,247251009,3,3,"1,872","785,000"
35,68058719,3,3,"2,093","521,900"
36,13530558,5,3,"4,723","675,000"
37,82024405,4,4,"5,071","875,000"
38,13478548,4,4,"3,333","1,350,000"
39,58888250,5,5,"4,722","925,000"
40,51407506,3,2,"1,450","440,000"
41,13554128,4,4,"4,052","934,900"
42,13508794,3,3,"1,806","929,000"
43,14058545,3,2,"1,177","369,900"
44,218698447,4,3,"1,936","359,950"
45,13892679,5,5,"3,937","750,000"
46,246632964,5,4,"3,292","685,000"
47,218693855,3,1,"1,233","279,900"
48,13704458,4,2,"1,728","499,900"
49,13000843,3,2,"1,088","325,000"
50,13530052,4,3,"2,418","550,000"
51,12979931,4,3,"2,338","542,000"
52,13789376,4,2,"3,144","715,000"
53,64459430,2,2,"1,160","364,900"
54,338265763,3,2,"2,888","550,000"
55,14041793,4,2,"1,579","320,000"
56,2061585375,2,2,960,"126,000"
57,13467829,4,3,"2,751","585,000"
58,67450235,5,4,"4,759","950,000"
59,13573798,4,3,"3,223","560,000"
60,13594599,3,2,"1,072","175,000"
61,13447986,5,4,"4,007","829,000"
62,13494766,3,3,"2,095","510,000"
63,67151250,2,3,"1,306","299,000"
64,13976821,4,3,"2,765","1,100,000"
65,14038455,4,2,"1,957","309,900"
66,194383494,3,1,"1,491","399,000"
67,13982934,2,1,512,"170,000"
68,250246078,5,4,"4,162","825,000"
69,13098264,6,2,"2,240","425,000"
70,12966792,2,3,"2,244","550,000"
71,111198447,4,3,"2,165","399,000"
72,14058474,3,2,"1,248","319,000"
73,13236999,3,2,"1,348","485,000"
74,13553561,4,2,"1,324","320,000"
75,13845583,2,2,639,"420,000"
76,13845373,3,2,"1,616","529,000"
77,13488808,3,3,"2,873","500,000"
78,13268559,4,3,"2,580","865,000"
79,13262506,5,2,974,"116,000"
80,67827360,1,1,636,"295,000"
81,14021106,4,3,"1,563","320,000"
82,13630121,3,3,"2,045","382,850"
83,338122150,3,3,"1,710","464,230"
84,194071738,1,1,480,"370,000"
85,13411094,3,2,"1,320","350,000"
86,98325399,3,2,"1,708","399,900"
87,117919556,2,2,"1,800","535,000"
88,13334224,3,2,"1,507","650,000"
89,13326390,3,3,"1,712","799,900"
90,2097987741,1,1,720,"385,900"
91,194792645,1,--,582,"225,000"
92,13869074,3,3,"2,208","480,000"
93,13345470,4,2,"2,724","1,070,000"
94,12981284,4,2,"1,850","499,000"
95,13151652,5,2,"2,326","555,000"
96,13578162,2,2,"1,292","329,000"
97,72304384,3,3,"1,400","549,000"
98,121868046,5,4,"3,450","499,999"
99,13058190,2,2,"1,200","240,000"
100,13142982,2,2,"1,736","495,000"
101,245913032,2,1,938,"500,000"
102,13541637,3,3,"2,510","450,000"
103,115560815,3,2,"1,450","290,900"
104,13530538,3,2,"2,772","370,000"
105,194091085,4,2,"2,050","300,000"
106,13428621,3,4,"2,616","650,000"
107,13836903,5,3,"2,382","595,000"
108,13116479,3,2,"2,501","460,000"
109,62718278,3,2,"1,696","234,900"
110,337041378,3,2,"2,765","644,990"
111,2060666732,2,2,770,"239,000"
