,duration,views,saves,zpid
0,,,,247509225
1,4 days,"1,200",105,13602165
2,1 day,483,27,13535937
3,1 day,"1,003",75,13097640
4,1 day,"1,406",123,13561330
5,1 day,164,8,12967801
6,1 day,638,19,13040426
7,2 days,"1,540",63,13383661
8,2 days,"2,459",114,13342434
9,9 days,"8,196",420,2062540395
10,7 days,"6,420",437,2082166256
11,6 days,"1,544",79,13054312
12,2 days,"1,627",142,13321721
13,4 days,"2,859",108,13926414
14,5 days,"5,053",342,13070129
15,3 days,"2,579",100,72293761
16,43 days,"13,487",599,13674048
17,3 days,"1,168",47,61264728
18,18 hours,206,13,14007383
19,4 days,"1,077",53,61207983
20,3 days,"1,373",91,13360081
21,4 days,"1,748",134,13587738
22,10 days,"3,911",276,13859397
23,1 day,423,20,307625540
24,1 day,417,27,13621169
25,2 days,735,45,123457010
26,13 hours,82,8,181568582
27,3 days,"1,015",65,13833169
28,5 days,813,35,13040396
29,49 days,"14,751",695,13268185
30,2 days,786,31,13240750
31,4 days,"2,021",94,2060711663
32,17 hours,93,4,14093726
33,1 day,570,33,13571913
34,4 days,"2,779",97,247251009
35,2 days,188,8,68058719
36,1 day,475,19,13530558
37,1 day,336,11,82024405
38,1 day,281,7,13478548
39,2 days,354,9,58888250
40,13 hours,169,3,51407506
41,1 day,818,15,13554128
42,2 days,"1,356",73,13508794
43,3 days,628,53,14058545
44,1 day,500,35,218698447
45,1 day,471,28,13892679
46,1 day,447,33,246632964
47,3 days,611,26,218693855
48,1 day,409,17,13704458
49,3 days,781,61,13000843
50,1 day,156,5,13530052
51,1 day,624,39,12979931
52,15 hours,164,10,13789376
53,1 day,169,1,64459430
54,1 day,402,15,338265763
55,1 day,337,12,14041793
56,67 days,"3,535",198,2061585375
57,1 day,500,22,13467829
58,3 days,"1,292",49,67450235
59,1 day,203,7,13573798
60,4 days,"1,236",62,13594599
61,1 day,547,21,13447986
62,1 day,497,33,13494766
63,1 day,446,11,67151250
64,2 days,793,45,13976821
65,1 day,336,18,14038455
66,2 days,710,25,194383494
67,166 days,"9,292",346,13982934
68,7 days,"1,004",49,250246078
69,1 day,585,37,13098264
70,1 day,242,7,12966792
71,3 days,784,29,111198447
72,1 day,179,7,14058474
73,1 day,499,17,13236999
74,1 day,391,30,13553561
75,8 days,"1,604",80,13845583
76,44 days,"5,416",363,13845373
77,13 days,"5,340",131,13488808
78,39 days,"11,148",488,13268559
79,33 days,"6,705",189,13262506
80,18 days,"5,580",189,67827360
81,4 days,801,34,14021106
82,85 days,"5,177",215,13630121
83,1 day,93,2,338122150
84,41 days,"6,568",116,194071738
85,3 days,713,59,13411094
86,1 day,194,14,98325399
87,3 days,936,45,117919556
88,86 days,"5,306",215,13334224
89,65 days,"6,526",336,13326390
90,96 days,"3,653",252,2097987741
91,78 days,"3,775",194,194792645
92,1 day,436,14,13869074
93,1 day,841,35,13345470
94,4 days,"1,103",80,12981284
95,50 days,"3,915",150,13151652
96,3 days,689,26,13578162
97,1 day,480,7,72304384
98,33 days,"2,300",158,121868046
99,1 day,288,3,13058190
100,15 days,"3,757",225,13142982
101,23 days,"7,041",396,245913032
102,4 days,"1,128",43,13541637
103,4 days,838,33,115560815
104,50 days,"2,127",112,13530538
105,119 days,"2,678",123,194091085
106,4 days,"1,511",65,13428621
107,2 days,911,53,13836903
108,38 days,"2,528",114,13116479
109,58 days,"3,506",112,62718278
110,1 day,197,7,337041378
111,11 hours,222,5,2060666732
112,11 days,"1,340",87,58651411
113,8 days,"2,005",81,13670966
114,189 days,"1,474",95,109720955
115,32 days,"3,369",158,13983551
116,4 days,"1,104",53,13032758
117,4 days,"1,191",38,2060711625
118,1 day,365,9,2082766662
119,72 days,"4,918",179,157441791
120,5 days,"1,091",58,13953097
121,2 days,"1,447",74,13147996
122,43 days,"1,618",61,13150438
123,36 days,"2,384",105,14094414
124,128 days,"1,935",104,104597509
125,1 day,495,18,194086035
126,26 days,"7,166",376,13671198
127,68 days,"2,412",70,13972194
128,128 days,"3,777",114,115561167
129,32 days,"6,127",152,62912181
130,2 days,"1,876",158,81505711
131,2 days,"1,555",144,139016454
132,3 days,"3,656",134,77140398
133,2 days,"1,307",101,94401765
134,3 days,"1,401",108,85534790
135,2 days,"1,396",85,1260366
136,2 days,"1,466",80,73285967
137,3 days,539,23,85698750
138,2 days,639,60,1106338
139,4 days,"1,659",73,85595046
140,16 hours,273,5,1174891
141,4 days,708,56,85464743
142,5 days,"1,071",87,77123330
143,2 days,"1,545",100,1162178
144,2 days,973,91,128499312
145,66 days,"5,144",197,77091612
146,2 days,"1,306",98,138638150
147,1 day,497,19,1148557
148,1 day,741,22,50623134
149,2 days,472,11,77054500
150,3 days,"1,242",78,50626545
151,1 day,221,10,85421559
152,9 days,"2,962",128,115580398
153,2 days,790,53,102834542
154,56 days,"5,580",309,85778950
155,1 day,"1,088",50,1263118
156,7 days,"2,694",178,85522127
157,1 day,383,28,85304222
158,1 day,467,11,85113844
159,1 day,944,28,316588360
160,6 days,"2,456",150,50606493
161,1 day,416,27,85612322
162,7 days,"3,545",224,1249693
163,4 days,"1,001",80,94611401
164,1 day,495,40,81499633
165,1 day,925,62,77002866
166,15 hours,267,9,85616295
167,13 hours,177,10,94423189
168,2 days,208,6,85761594
169,1 day,524,35,1161640
170,1 day,286,31,85375097
171,2 days,401,11,73309195
172,1 day,472,20,73224156
173,3 days,"1,347",60,180465529
174,1 day,"1,214",69,70485208
175,1 day,178,7,1309106
176,1 day,245,16,2060673959
177,3 days,"1,133",82,231344735
178,1 day,725,17,85458636
179,9 days,"4,622",221,89778528
180,2 days,571,15,1151090
181,,,,85561604
182,1 day,506,27,73366083
183,1 day,62,2,2060678728
184,9 days,"1,765",133,1298611
185,1 day,770,38,65281157
186,1 day,592,20,50602192
187,20 hours,195,15,85730207
188,1 day,414,25,1208378
189,1 day,536,24,77102320
190,5 days,"1,481",68,85233767
191,1 day,654,25,73203008
192,1 day,563,16,1114365
193,2 days,"1,465",44,85472543
194,1 day,484,17,85131112
195,5 days,"1,132",59,99220474
196,30 days,"5,104",236,50590357
197,1 day,461,5,50660194
198,1 day,544,15,85587622
199,102 days,"3,723",207,2061983838
200,1 day,246,26,1238214
201,1 day,448,26,1240751
202,4 days,"1,597",74,85450291
203,1 day,442,33,249701183
204,3 days,"1,801",42,73268831
205,1 day,170,5,2060677996
206,3 days,930,45,85287991
207,1 day,277,17,85205718
208,40 days,"4,696",224,94494760
209,15 days,"3,392",258,1071846
210,5 days,871,53,97859874
211,1 day,337,28,77128950
212,1 day,484,22,73296421
213,72 days,"1,847",97,80675642
214,5 days,"1,273",71,124209188
215,88 days,"5,790",193,99135396
216,2 days,115,2,85457575
217,4 days,956,49,80675508
218,1 day,554,22,73316200
219,4 days,868,61,85289160
220,4 days,977,44,73380950
221,1 day,540,23,1191914
222,8 days,"2,399",74,85445046
223,61 days,"3,402",251,1096476
224,1 day,"1,019",78,73274346
225,1 day,133,13,1094929
226,44 days,"2,234",98,82758653
