,streetAddress,postalCode,latitude,longitude,zpid
0,9539 Clatsop Dr,80925,38.73167,-104.650375,247509225
1,1722 N Chelton Rd,80909,38.857857,-104.76569,13602165
2,8495 Rain Dance Ct,80920,38.955364,-104.756096,13561330
3,2302 Kent Ln,80909,38.865463,-104.76748,13600860
4,8128 Burl Wood Dr,80908,38.94492,-104.675095,247511103
5,534 Yellowstone Rd,80910,38.823147,-104.78654,13619112
6,3507 Michigan Ave,80910,38.825653,-104.76876,13615352
7,4551 Horse Gulch Loop,80924,38.981922,-104.74084,294979957
8,643 La Bourgade Point,80906,38.7883,-104.81406,13629281
9,6399 Cache Dr,80923,38.911076,-104.710686,59736095
10,4860 Rushford Place,80923,38.917477,-104.73192,13573798
11,2712 Sierra Springs Dr,80916,38.799244,-104.75689,114184528
12,6425 Pawnee Cir,80915,38.85591,-104.70865,13543937
13,1527 Palmer Park Blvd,80909,38.851177,-104.79815,13607304
14,3130 Angel Ter,80904,38.879074,-104.911674,181707404
15,6434 Dunleer Grv,80927,38.92596,-104.65536,338030102
16,15961 Longmeadow Ln,80921,39.06136,-104.80067,13555621
17,1905 Allegheny Dr,80919,38.930595,-104.86182,13651688
18,926 Cheyenne Blvd,80905,38.801983,-104.84473,13671198
19,6640 Zermatt Drive,80915,38.866665,-104.705505,13543561
20,14510 Club Villa Dr UNIT B,80921,39.041557,-104.82025,13557461
21,1236 Royale Dr,80910,38.813896,-104.778244,13619653
22,1607 Columbine Pl,80907,38.886494,-104.796364,13591035
23,1490 Stardust Dr,80905,38.8101,-104.853294,181721490
24,3631 Desert Willow Ln,80925,38.779835,-104.655716,181556706
25,5452 Leon Young Dr,80924,38.966106,-104.728546,181738611
26,663 Bosque Vista Point,80916,38.823257,-104.74851,69043953
27,4570 Eastcrest Cir W,80916,38.83116,-104.743965,13614336
28,2639 E Yampa St,80909,38.846848,-104.779366,13610394
29,6310 Gunnison Ct,80919,38.92343,-104.83011,13579980
30,7835 Belford Dr,80920,38.945034,-104.76333,13566737
31,425 W Boulder St,80905,38.838844,-104.83372,13667169
32,528 S 26th St,80904,38.84475,-104.86797,13665230
33,2830 Helmsdale Dr,80920,38.959503,-104.77401,13560440
34,5102 Crestwood Dr,80918,38.905163,-104.76522,13581140
35,1748 Summernight Ter,80909,38.85973,-104.75281,13599823
36,951 Pickfair Dr,80915,38.845573,-104.727585,338032294
37,10051 Seawolf Dr,80925,38.734367,-104.63965,181739895
38,555 Cougar Bluff Poin #208,80906,38.76819,-104.81581,2060748905
39,975 Pulpit Rock Cir S,80918,38.919735,-104.80816,13579333
40,10928 Ballona Dr,80925,38.73907,-104.64273,338030560
41,1404 N Nevada Ave,80907,38.853832,-104.8211,181641608
42,7582 Manistique Dr,80923,38.916386,-104.685394,79847876
43,3609 Windflower Cir,80918,38.892532,-104.76509,13588546
44,5670 Tuckerman Dr,80918,38.913837,-104.78286,13578650
45,10770 Huntsman Rd,80908,38.98967,-104.6808,80394784
46,7892 Tennis Ln,80951,38.863194,-104.680595,82241127
47,1313 Friendship Ln E,80904,38.858494,-104.8534,13661251
48,2103 Whitewood Dr,80910,38.80203,-104.76544,13626299
49,4275 Archwood Dr,80920,38.94194,-104.74644,13564988
50,6954 Sierra Meadows Dr,80908,38.948647,-104.69705,82241528
51,2201 W Pikes Peak Ave,80904,38.84516,-104.85776,13665522
52,1335 Challenger Ave,80916,38.81158,-104.73955,13621920
53,1120 Big Valley Dr,80919,38.93754,-104.84742,13652262
54,10120 Shoup Rd,80908,39.015575,-104.63879,13535683
55,1141 Glengary Pl,80921,39.01695,-104.804054,80383099
56,5042 El Camino Dr APT 86,80918,38.903694,-104.77112,13582293
57,2055 Avalon Ct,80919,38.925724,-104.866394,13651615
58,2720 W Platte Ave,80904,38.852528,-104.86373,247510511
59,1018 Florence Avenue,80905,38.798878,-104.81601,13628694
60,7719 Springwood Ter,80908,38.94492,-104.69936,119310357
61,3025 De Cortez Street,80909,38.845325,-104.77237,13611715
62,215 Scottsdale Dr,80921,39.040215,-104.83074,13557664
63,22 Crossland Rd,80906,38.782417,-104.840904,84638480
64,8501 Jacks Fork Dr,80924,38.954155,-104.71967,69038954
65,9845 Rubicon Dr,80925,38.734478,-104.645905,247511137
66,2655 Richmond Dr,80922,38.869846,-104.70471,13540822
67,1836 Sheringham Dr,80951,38.85786,-104.67884,69042832
68,5629 Old River Dr,80924,38.958073,-104.72223,69039609
69,2440 E Saint Vrain St,80909,38.840202,-104.78379,59739161
70,4940 Nugent Dr,80922,38.903645,-104.69762,13539355
71,7485 Liberty Bell Dr,80920,38.9395,-104.7641,13570540
72,4730 Brady Rd,80915,38.862103,-104.739395,13599326
73,3760 Tapestry Ter,80918,38.927986,-104.758705,13571223
74,4330 Star Ranch Rd,80906,38.770103,-104.82769,13637667
75,2613 Marilyn Rd,80909,38.868896,-104.77649,13594330
76,1813 W Colorado Ave,80904,38.841515,-104.853874,13665726
77,2680 Sunbird Dr,80918,38.921154,-104.77852,13577733
78,1110 Samuel Point,80906,38.773933,-104.80818,13636197
79,5078 Masheena Ln,80917,38.883244,-104.73353,13586477
80,6527 Pennywhistle Point,80923,38.927788,-104.72375,87934256
81,7005 Prairie Finch Hts APT 101,80922,38.893566,-104.698296,72303511
82,8229 Dolly Madison Dr,80920,38.9515,-104.733536,13562583
83,1645 Doe Run Point,80919,38.94453,-104.85998,13649905
84,11750 Green Acres Ln,80908,39.00435,-104.64824,13535792
85,2253 Glenwood Cir,80909,38.864853,-104.75854,13600409
86,1203 N 19th St,80904,38.85646,-104.84932,13659853
87,5830 Broadmoor Bluffs Dr,80906,38.74509,-104.83276,59740591
88,14490 Aiken Ride Vw,80926,38.621895,-104.90649,13674037
89,320 Allegheny Pl,80919,38.931072,-104.83394,13652758
90,9240 E Blue Sage Cir,80908,39.111816,-104.65391,64675332
91,7320 Woodmen Mesa Cir,80919,38.938667,-104.82832,13568468
92,1422 Alexander Rd,80909,38.853584,-104.785805,13609503
93,9226 Kathi Creek Dr,80924,38.965775,-104.71484,181735368
94,5521 Silverstone Ter,80919,38.910976,-104.8644,319913166
95,3115 Galley Rd,80909,38.8469,-104.771385,13611657
96,6395 Casual Dr,80923,38.92419,-104.70263,64908460
97,21 E Caramillo St,80907,38.856205,-104.82291,13605493
98,8340 Wilderness Dr,80908,39.07047,-104.66953,13534679
99,825 Pollux Dr,80906,38.819225,-104.881226,13669037
100,813 Panorama Dr,80904,38.86155,-104.86171,13660221
101,1536 Server Dr,80910,38.810883,-104.77835,13619748
102,6621 Justice Way,80925,38.737095,-104.63302,124229212
103,4060 Harbor Pl,80917,38.886894,-104.75187,13587610
104,4990 Iron Horse Trl,80917,38.90284,-104.727325,13585288
105,17640 Woodhaven Dr,80908,39.090244,-104.752,13554676
106,516 & 518 W Boulder St,80905,38.839104,-104.83454,2061534815
107,9260 Delgany Poin,80927,38.92573,-104.65618,2060896234
108,3809 N Hancock Ave,80907,38.88698,-104.80304,13591049
109,5038 El Camino Dr APT 63,80918,38.903362,-104.77167,13582270
110,7730 Julynn Rd,80919,38.940685,-104.8768,13650316
111,3260 Van Teylingen Dr APT E,80917,38.879288,-104.76193,13594642
112,2247 Villa Rosa Dr,80904,38.865387,-104.86253,13660276
113,8340 Alpinview Way,80919,38.951866,-104.87626,13650087
114,755 Amberglen Ct,80906,38.75309,-104.81302,59739733
115,6346 Lythmore Grv,80927,38.924946,-104.65985,338029871
116,19879 Glen Shadows Dr,80908,39.118454,-104.76369,181574069
117,9444 Timberlake Loop,80927,38.927254,-104.65334,294978899
118,120 Holbrook St,80921,39.052837,-104.82233,13556214
119,3987 Happy Jack Dr,80922,38.888386,-104.69256,80394057
120,885 Calliope Ct,80916,38.819775,-104.74953,13621499
121,910 Tia Juana St,80909,38.84606,-104.77294,13611682
122,2650 Summit Dr,80909,38.86608,-104.77619,108396478
123,3025 Rockbrook Ln,80904,38.87528,-104.860504,13659073
124,5470 Poncha Pass Ct,80917,38.87662,-104.72627,13596763
125,4420 Foxchase Way,80908,39.039936,-104.7438,92139481
126,550 E Platte Ave,80903,38.838238,-104.814026,13617515
127,3483 Foxridge Dr,80916,38.782063,-104.744,13632382
128,2143 Rocking Horse Ct,80921,39.02176,-104.786316,82403512
129,1710 Alexander Ln,80909,38.857304,-104.78623,13603344
130,6078 Trappers Tale Ct,80923,38.91853,-104.687645,294978847
131,5047 Farris Creek Ct,80924,38.966125,-104.73461,82403405
132,1935 Okeechobee Dr,80915,38.859924,-104.70986,13544139
133,8807 Chess Ct,80924,38.95845,-104.70209,338032113
134,5807 Adamants Dr,80924,38.965233,-104.72206,118175899
135,5231 Gold Run Ct,80908,39.05054,-104.7294,319903945
136,6765 Monterey Pine Loop,80927,38.931404,-104.67473,121867163
137,1909 Trent Ave,80909,38.8597,-104.77038,13601287
138,6285 Colfax Ter,80906,38.74088,-104.83516,59986387
139,484 Gold Claim Ter,80905,38.82533,-104.854256,59740441
140,540 Grey Eagle Dr,80919,38.92917,-104.83758,13652839
141,739 E High St,80903,38.83547,-104.81117,243806641
142,6575 Bull Hill Ct,80919,38.92599,-104.820724,13568795
143,1124 Yuma St APT B,80909,38.848133,-104.7789,2081040120
144,4555 Jet Wing Cir W,80916,38.813396,-104.74297,13621976
145,1219 Florence Ave,80905,38.798706,-104.804436,13627284
146,5543 Prairie Knoll Vw,80917,38.878067,-104.72411,64498841
147,703 E Costilla Street,80903,38.82748,-104.81306,181653863
148,6610 Mandan Dr,80925,38.735096,-104.64635,247510693
149,844 E Fountain Blvd,80903,38.82151,-104.80883,13618691
150,13760 Paradise Villas Grv,80921,39.033566,-104.83122,69308060
151,3670 Camels Ridge Ln,80904,38.884342,-104.85629,13658392
152,4845 Harrier Ridge Dr,80916,38.78348,-104.73702,71718596
