,Type,Year Built,Heating,Cooling,Parking,Lot,Price/sqft,Buyers Agency Fee,zpid
0,Single family residence,Built in 2018,Natural gas,Central air,2 Attached garage spaces,"6,259 sqft",$266 price/sqft,3% buyers agency fee,247509225
1,Single family residence,Built in 1959,Forced air,"Ceiling fan(s), central air",1 Attached garage space,"7,998 sqft",$263 price/sqft,3% buyers agency fee,13602165
2,Single family residence,Built in 1968,Forced air,"Ceiling fan(s), other",2 Garage spaces,1.40 Acres,$464 price/sqft,2.5% buyers agency fee,13535937
3,Single family residence,Built in 1983,"Forced air, natural gas",Evaporative cooling,2 Attached garage spaces,"10,454 sqft",$176 price/sqft,2.8% buyers agency fee,13097640
4,Single family residence,Built in 1984,Forced air,Central air,2 Attached garage spaces,"9,444 sqft",$214 price/sqft,2.5% buyers agency fee,13561330
5,Single family residence,Built in 1968,Forced air,Central air,1 Attached garage space,0.27 Acres,$242 price/sqft,2.8% buyers agency fee,12967801
6,Single family residence,Built in 1980,"Forced air, natural gas",Central air,2 Attached garage spaces,"7,405 sqft",$153 price/sqft,2.8% buyers agency fee,13040426
7,Single family residence,Built in 1955,Forced air,Evaporative cooling,1 Carport space,"6,600 sqft",$250 price/sqft,2.8% buyers agency fee,13383661
8,Single family residence,Built in 1946,Forced air,Central air,3 Garage spaces,"6,250 sqft",$382 price/sqft,2.8% buyers agency fee,13342434
9,Single family residence,Built in 2001,Forced air,Ceiling fan(s),2 Attached garage spaces,897.34 Sqft,$163 price/sqft,3% buyers agency fee,2062540395
10,Single family residence,Built in 2019,Forced air,"Ceiling fan(s), central air",2 Attached garage spaces,"4,000 sqft",$166 price/sqft,3% buyers agency fee,2082166256
11,Condominium,Built in 1981,Forced air,Central air,1 Parking space,,$253 price/sqft,2.8% buyers agency fee,13054312
12,Single family residence,Built in 1891,"Forced air, natural gas",Central air,2 Garage spaces,"6,650 sqft",$420 price/sqft,2.80% buyers agency fee,13321721
13,"Residential-detached, residential",Built in 1966,Forced air,No data,1 Attached garage space,0.32 Acres,$159 price/sqft,3.00% buyers agency fee,13926414
14,Single family residence,Built in 1980,Baseboard,None,2 Attached garage spaces,"7,318 sqft",$162 price/sqft,2.5% buyers agency fee,13070129
15,Single family residence,Built in 2006,Forced air,Central air,2 Carport spaces,"3,049 sqft",$285 price/sqft,2.8% buyers agency fee,72293761
16,Single family residence,Built in 1998,Forced air,Ceiling fan(s),1 Garage space,5.34 Acres,$210 price/sqft,3% buyers agency fee,13674048
17,Townhouse,Built in 2002,No data,No data,1 Attached garage space,522.72 Sqft,$285 price/sqft,,61264728
18,Single family residence,Built in 1955,No data,No data,"Rv access/parking, no garage","9,016 sqft",$177 price/sqft,2.75% buyers agency fee,14007383
19,Condominium,Built in 2002,Forced air,Central air,1 Carport space,,$336 price/sqft,2.8% buyers agency fee,61207983
20,Single family residence,Built in 1948,Forced air,Central air,1 Attached garage space,"6,250 sqft",$515 price/sqft,2.8% buyers agency fee,13360081
21,Single family residence,Built in 1971,Forced air,"Attic fan, central air",2 Attached garage spaces,"9,801 sqft",$163 price/sqft,3% buyers agency fee,13587738
22,"Residential-detached, residential",Built in 1985,Forced air,Central air,2 Attached garage spaces,"6,969 sqft",$283 price/sqft,2.80% buyers agency fee,13859397
23,Stick built,Built in 2022,No data,Ceiling fan(s),2 Attached garage spaces,1 Acres,$318 price/sqft,,307625540
24,Single family residence,Built in 1994,Forced air,Central air,5 Attached garage spaces,0.44 Acres,$231 price/sqft,2.8% buyers agency fee,13621169
25,Single family residence,Built in 2016,Forced air,Air conditioning-room,3 Attached garage spaces,"8,886 sqft",$168 price/sqft,2.8% buyers agency fee,123457010
26,Townhouse,Built in 2015,"Forced air, natural gas","Ceiling fan(s), central air",2 Attached garage spaces,"3,430 sqft",$201 price/sqft,3% buyers agency fee,181568582
27,Single family residence,Built in 1979,"Forced air, natural gas",None,2 Attached garage spaces,"8,907 sqft",$319 price/sqft,2.5% buyers agency fee,13833169
28,Single family residence,Built in 1973,Forced air,Central air,2 Attached garage spaces,"7,841 sqft",$160 price/sqft,2.8% buyers agency fee,13040396
29,Single family residence,Built in 1950,Baseboard,None,2 Parking spaces,3.50 Acres,$291 price/sqft,2.5% buyers agency fee,13268185
30,"Residential-detached, residential",Built in 1992,"Forced air, radiator, 2 or more heat sources",Central air,3 Attached garage spaces,4.37 Acres,$304 price/sqft,2.80% buyers agency fee,13240750
31,Single family residence,Built in 1987,"Propane, forced air",No data,3 Garage spaces,2.27 Acres,$330 price/sqft,,2060711663
32,Manufactured home,Built in 1999,Forced air,Air conditioning-room,2 Parking spaces,,$216 price/sqft,2.5% buyers agency fee,14093726
33,Single family residence,Built in 1994,Forced air,"Ceiling fan(s), central air",3 Attached garage spaces,0.37 Acres,$161 price/sqft,3% buyers agency fee,13571913
34,Stick built,Built in 2017,No data,"Refrigerated air, ceiling fan(s)",2 Attached garage spaces,"4,356 sqft",$419 price/sqft,,247251009
35,"Residential-detached, residential",Built in 2005,Forced air,Central air,2 Attached garage spaces,0.26 Acres,$249 price/sqft,2.50% buyers agency fee,68058719
36,Single family residence,Built in 2005,Forced air,"Ceiling fan(s), central air",6 Garage spaces,5 Acres,$143 price/sqft,2.5% buyers agency fee,13530558
37,Single family residence,Built in 2005,"Forced air, natural gas",Central air,3 Attached garage spaces,"8,712 sqft",$173 price/sqft,2.8% buyers agency fee,82024405
38,Single family residence,Built in 1979,"Forced air, natural gas",None,No data,30 Acres,$405 price/sqft,3% buyers agency fee,13478548
39,Single family residence,Built in 2004,Forced air,Central air,3 Attached garage spaces,0.26 Acres,$196 price/sqft,2.8% buyers agency fee,58888250
40,Condominium,Built in 2000,Forced air,Central air,2 Garage spaces,,$303 price/sqft,2.5% buyers agency fee,51407506
41,Single family residence,Built in 1998,Forced air,"Ceiling fan(s), central air",9 Attached garage spaces,5 Acres,$231 price/sqft,3% buyers agency fee,13554128
42,Townhouse,Built in 1978,"Forced air, natural gas",None,1 Garage space,"1,742 sqft",$514 price/sqft,2.50% buyers agency fee,13508794
43,"Residential-detached, residential",Built in 1964,Forced air,Ceiling fan(s),1 Attached garage space,"6,969 sqft",$314 price/sqft,2.80% buyers agency fee,14058545
44,Residential,Built in 1959,Forced air gas,Central air,2 Attached garage spaces,"10,715 sqft",$186 price/sqft,,218698447
45,"Residential-detached, residential",Built in 1993,Forced air,Central air,3 Attached garage spaces,"9,583 sqft",$191 price/sqft,3.00% buyers agency fee,13892679
