,duration,views,saves
0,,,
1,4 days,"1,200",105
2,1 day,483,27
3,1 day,"1,003",75
4,1 day,"1,406",123
5,1 day,164,8
6,1 day,638,19
7,2 days,"1,540",63
8,2 days,"2,459",114
9,9 days,"8,196",420
10,7 days,"6,420",437
11,6 days,"1,544",79
12,2 days,"1,627",142
13,4 days,"2,859",108
14,5 days,"5,053",342
15,3 days,"2,579",100
16,43 days,"13,487",599
17,3 days,"1,168",47
18,18 hours,206,13
19,4 days,"1,077",53
20,3 days,"1,373",91
21,4 days,"1,748",134
22,10 days,"3,911",276
23,1 day,423,20
24,1 day,417,27
25,2 days,735,45
26,13 hours,82,8
27,3 days,"1,015",65
28,5 days,813,35
29,49 days,"14,751",695
30,2 days,786,31
31,4 days,"2,021",94
32,17 hours,93,4
33,1 day,570,33
34,4 days,"2,779",97
35,2 days,188,8
36,1 day,475,19
37,1 day,336,11
38,1 day,281,7
39,2 days,354,9
40,13 hours,169,3
41,1 day,818,15
42,2 days,"1,356",73
43,3 days,628,53
44,1 day,500,35
45,1 day,471,28
46,1 day,447,33
47,3 days,611,26
48,1 day,409,17
49,3 days,781,61
50,1 day,156,5
51,1 day,624,39
52,15 hours,164,10
53,1 day,169,1
54,1 day,402,15
55,1 day,337,12
56,67 days,"3,535",198
57,1 day,500,22
58,3 days,"1,292",49
59,1 day,203,7
60,4 days,"1,236",62
61,1 day,547,21
62,1 day,497,33
63,1 day,446,11
64,2 days,793,45
65,1 day,336,18
66,2 days,710,25
67,166 days,"9,292",346
68,7 days,"1,004",49
69,1 day,585,37
70,1 day,242,7
71,3 days,784,29
72,1 day,179,7
73,1 day,499,17
74,1 day,391,30
75,8 days,"1,604",80
76,44 days,"5,416",363
77,13 days,"5,340",131
78,39 days,"11,148",488
79,33 days,"6,705",189
80,18 days,"5,580",189
81,4 days,801,34
82,85 days,"5,177",215
83,1 day,93,2
84,41 days,"6,568",116
85,3 days,713,59
86,1 day,194,14
87,3 days,936,45
88,86 days,"5,306",215
89,65 days,"6,526",336
90,96 days,"3,653",252
91,78 days,"3,775",194
92,1 day,436,14
93,1 day,841,35
94,4 days,"1,103",80
95,50 days,"3,915",150
96,3 days,689,26
97,1 day,480,7
98,33 days,"2,300",158
99,1 day,288,3
100,15 days,"3,757",225
101,23 days,"7,041",396
102,4 days,"1,128",43
103,4 days,838,33
104,50 days,"2,127",112
105,119 days,"2,678",123
106,4 days,"1,511",65
107,2 days,911,53
108,38 days,"2,528",114
109,58 days,"3,506",112
110,1 day,197,7
111,11 hours,222,5
112,11 days,"1,340",87
113,8 days,"2,005",81
114,189 days,"1,474",95
115,32 days,"3,369",158
116,4 days,"1,104",53
117,4 days,"1,191",38
118,1 day,365,9
119,72 days,"4,918",179
120,5 days,"1,091",58
121,2 days,"1,447",74
122,43 days,"1,618",61
123,36 days,"2,384",105
124,128 days,"1,935",104
125,1 day,495,18
126,26 days,"7,166",376
